catalog,rule,alpha,c_FN,P_false_RESPONSE,P_false_ALERT,P_ESCALATE,P_empty,expected_cost
comcat_global_m4,argmax,0.055,10,0.0311,0.0183,0.2246,0.0,0.5543
comcat_global_m4,argmax,0.055,50,0.0311,0.0183,0.2246,0.0,1.8001
comcat_global_m4,escalate,0.06,5,0.0319,0.0183,0.2201,0.0,0.3976
comcat_global_m4,escalate,0.06,10,0.0319,0.0183,0.2201,0.0,0.5569
comcat_global_m4,escalate,0.06,50,0.0319,0.0183,0.2201,0.0,1.831
comcat_global_m4,argmax,0.06,5,0.0319,0.0183,0.2201,0.0,0.3976
comcat_global_m4,argmax,0.06,10,0.0319,0.0183,0.2201,0.0,0.5569
comcat_global_m4,argmax,0.06,50,0.0319,0.0183,0.2201,0.0,1.831
comcat_global_m4,escalate,0.065,5,0.0368,0.0274,0.1791,0.0,0.3903
comcat_global_m4,escalate,0.065,10,0.0368,0.0274,0.1791,0.0,0.5741
comcat_global_m4,escalate,0.065,50,0.0368,0.0274,0.1791,0.0,2.0443
comcat_global_m4,argmax,0.065,5,0.0368,0.0274,0.1791,0.0,0.3903
comcat_global_m4,argmax,0.065,10,0.0368,0.0274,0.1791,0.0,0.5741
comcat_global_m4,argmax,0.065,50,0.0368,0.0274,0.1791,0.0,2.0443
comcat_global_m4,escalate,0.07,5,0.0368,0.0274,0.1791,0.0,0.3903
comcat_global_m4,escalate,0.07,10,0.0368,0.0274,0.1791,0.0,0.5741
comcat_global_m4,escalate,0.07,50,0.0368,0.0274,0.1791,0.0,2.0443
comcat_global_m4,argmax,0.07,5,0.0368,0.0274,0.1791,0.0,0.3903
comcat_global_m4,argmax,0.07,10,0.0368,0.0274,0.1791,0.0,0.5741
comcat_global_m4,argmax,0.07,50,0.0368,0.0274,0.1791,0.0,2.0443
comcat_global_m4,escalate,0.075,5,0.0368,0.0274,0.1791,0.0,0.3903
comcat_global_m4,escalate,0.075,10,0.0368,0.0274,0.1791,0.0,0.5741
comcat_global_m4,escalate,0.075,50,0.0368,0.0274,0.1791,0.0,2.0443
comcat_global_m4,argmax,0.075,5,0.0368,0.0274,0.1791,0.0,0.3903
comcat_global_m4,argmax,0.075,10,0.0368,0.0274,0.1791,0.0,0.5741
comcat_global_m4,argmax,0.075,50,0.0368,0.0274,0.1791,0.0,2.0443
comcat_global_m4,escalate,0.08,5,0.0438,0.0274,0.1458,0.0,0.3923
comcat_global_m4,escalate,0.08,10,0.0438,0.0274,0.1458,0.0,0.6114
comcat_global_m4,escalate,0.08,50,0.0438,0.0274,0.1458,0.0,2.3644
comcat_global_m4,argmax,0.08,5,0.0438,0.0274,0.1458,0.0,0.3923
comcat_global_m4,argmax,0.08,10,0.0438,0.0274,0.1458,0.0,0.6114
comcat_global_m4,argmax,0.08,50,0.0438,0.0274,0.1458,0.0,2.3644
comcat_global_m4,escalate,0.085,5,0.045,0.0274,0.1404,0.0,0.3926
comcat_global_m4,escalate,0.085,10,0.045,0.0274,0.1404,0.0,0.6174
comcat_global_m4,escalate,0.085,50,0.045,0.0274,0.1404,0.0,2.4158
comcat_global_m4,argmax,0.085,5,0.045,0.0274,0.1404,0.0,0.3926
comcat_global_m4,argmax,0.085,10,0.045,0.0274,0.1404,0.0,0.6174
comcat_global_m4,argmax,0.085,50,0.045,0.0274,0.1404,0.0,2.4158
comcat_global_m4,escalate,0.09,5,0.0484,0.0274,0.1261,0.0,0.3955
comcat_global_m4,escalate,0.09,10,0.0484,0.0274,0.1261,0.0,0.6376
comcat_global_m4,escalate,0.09,50,0.0484,0.0274,0.1261,0.0,2.5739
comcat_global_m4,argmax,0.09,5,0.0484,0.0274,0.1261,0.0,0.3955
comcat_global_m4,argmax,0.09,10,0.0484,0.0274,0.1261,0.0,0.6376
comcat_global_m4,argmax,0.09,50,0.0484,0.0274,0.1261,0.0,2.5739
comcat_global_m4,escalate,0.095,5,0.0503,0.0395,0.0988,0.0,0.3898
comcat_global_m4,escalate,0.095,10,0.0503,0.0395,0.0988,0.0,0.6413
comcat_global_m4,escalate,0.095,50,0.0503,0.0395,0.0988,0.0,2.6535
comcat_global_m4,argmax,0.095,5,0.0503,0.0395,0.0988,0.0,0.3898
comcat_global_m4,argmax,0.095,10,0.0503,0.0395,0.0988,0.0,0.6413
comcat_global_m4,argmax,0.095,50,0.0503,0.0395,0.0988,0.0,2.6535
comcat_global_m4,escalate,0.1,5,0.0503,0.0395,0.0988,0.0,0.3898
comcat_global_m4,escalate,0.1,10,0.0503,0.0395,0.0988,0.0,0.6413
comcat_global_m4,escalate,0.1,50,0.0503,0.0395,0.0988,0.0,2.6535
comcat_global_m4,argmax,0.1,5,0.0503,0.0395,0.0988,0.0,0.3898
comcat_global_m4,argmax,0.1,10,0.0503,0.0395,0.0988,0.0,0.6413
comcat_global_m4,argmax,0.1,50,0.0503,0.0395,0.0988,0.0,2.6535
comcat_global_m4,escalate,0.105,5,0.0549,0.0395,0.0792,0.0,0.3932
comcat_global_m4,escalate,0.105,10,0.0549,0.0395,0.0792,0.0,0.6676
comcat_global_m4,escalate,0.105,50,0.0549,0.0395,0.0792,0.0,2.8632
comcat_global_m4,argmax,0.105,5,0.0549,0.0395,0.0792,0.0,0.3932
comcat_global_m4,argmax,0.105,10,0.0549,0.0395,0.0792,0.0,0.6676
comcat_global_m4,argmax,0.105,50,0.0549,0.0395,0.0792,0.0,2.8632
comcat_global_m4,escalate,0.11,5,0.0549,0.045,0.0712,0.0,0.3907
comcat_global_m4,escalate,0.11,10,0.0549,0.045,0.0712,0.0,0.6651
comcat_global_m4,escalate,0.11,50,0.0549,0.045,0.0712,0.0,2.8607
comcat_global_m4,argmax,0.11,5,0.0549,0.045,0.0712,0.0,0.3907
comcat_global_m4,argmax,0.11,10,0.0549,0.045,0.0712,0.0,0.6651
comcat_global_m4,argmax,0.11,50,0.0549,0.045,0.0712,0.0,2.8607
comcat_global_m4,escalate,0.115,5,0.0549,0.045,0.0712,0.0,0.3907
comcat_global_m4,escalate,0.115,10,0.0549,0.045,0.0712,0.0,0.6651
comcat_global_m4,escalate,0.115,50,0.0549,0.045,0.0712,0.0,2.8607
comcat_global_m4,argmax,0.115,5,0.0549,0.045,0.0712,0.0,0.3907
comcat_global_m4,argmax,0.115,10,0.0549,0.045,0.0712,0.0,0.6651
comcat_global_m4,argmax,0.115,50,0.0549,0.045,0.0712,0.0,2.8607
comcat_global_m4,escalate,0.12,5,0.0549,0.045,0.0712,0.0,0.3907
comcat_global_m4,escalate,0.12,10,0.0549,0.045,0.0712,0.0,0.6651
comcat_global_m4,escalate,0.12,50,0.0549,0.045,0.0712,0.0,2.8607
comcat_global_m4,argmax,0.12,5,0.0549,0.045,0.0712,0.0,0.3907
comcat_global_m4,argmax,0.12,10,0.0549,0.045,0.0712,0.0,0.6651
comcat_global_m4,argmax,0.12,50,0.0549,0.045,0.0712,0.0,2.8607
comcat_global_m4,escalate,0.125,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,escalate,0.125,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,escalate,0.125,50,0.0637,0.045,0.0378,0.0,3.2675
