catalog,rule,alpha,c_FN,P_false_RESPONSE,P_false_ALERT,P_ESCALATE,P_empty,expected_cost
comcat_global_m4,argmax,0.27,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.27,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.275,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.275,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.275,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.275,5,0.0968,0.0039,0.0,0.1467,0.4878
comcat_global_m4,argmax,0.275,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.275,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.28,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.28,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.28,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.28,5,0.0968,0.0039,0.0,0.1467,0.4878
comcat_global_m4,argmax,0.28,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.28,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.285,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.285,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.285,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.285,5,0.0968,0.0039,0.0,0.1467,0.4878
comcat_global_m4,argmax,0.285,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.285,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.29,5,0.0503,0.0,0.1664,0.1664,0.4178
comcat_global_m4,escalate,0.29,10,0.0503,0.0,0.1664,0.1664,0.6692
comcat_global_m4,escalate,0.29,50,0.0503,0.0,0.1664,0.1664,2.6804
comcat_global_m4,argmax,0.29,5,0.0968,0.0039,0.0,0.1664,0.4878
comcat_global_m4,argmax,0.29,10,0.0968,0.0039,0.0,0.1664,0.9716
comcat_global_m4,argmax,0.29,50,0.0968,0.0039,0.0,0.1664,4.8424
comcat_global_m4,escalate,0.295,5,0.0503,0.0,0.1664,0.1664,0.4178
comcat_global_m4,escalate,0.295,10,0.0503,0.0,0.1664,0.1664,0.6692
comcat_global_m4,escalate,0.295,50,0.0503,0.0,0.1664,0.1664,2.6804
comcat_global_m4,argmax,0.295,5,0.0968,0.0039,0.0,0.1664,0.4878
comcat_global_m4,argmax,0.295,10,0.0968,0.0039,0.0,0.1664,0.9716
comcat_global_m4,argmax,0.295,50,0.0968,0.0039,0.0,0.1664,4.8424
comcat_global_m4,escalate,0.3,5,0.0503,0.0,0.1664,0.1664,0.4178
comcat_global_m4,escalate,0.3,10,0.0503,0.0,0.1664,0.1664,0.6692
comcat_global_m4,escalate,0.3,50,0.0503,0.0,0.1664,0.1664,2.6804
comcat_global_m4,argmax,0.3,5,0.0968,0.0039,0.0,0.1664,0.4878
comcat_global_m4,argmax,0.3,10,0.0968,0.0039,0.0,0.1664,0.9716
comcat_global_m4,argmax,0.3,50,0.0968,0.0039,0.0,0.1664,4.8424
comcat_global_m4,escalate,0.305,5,0.0503,0.0,0.1664,0.1664,0.4178
comcat_global_m4,escalate,0.305,10,0.0503,0.0,0.1664,0.1664,0.6692
comcat_global_m4,escalate,0.305,50,0.0503,0.0,0.1664,0.1664,2.6804
comcat_global_m4,argmax,0.305,5,0.0968,0.0039,0.0,0.1664,0.4878
comcat_global_m4,argmax,0.305,10,0.0968,0.0039,0.0,0.1664,0.9716
comcat_global_m4,argmax,0.305,50,0.0968,0.0039,0.0,0.1664,4.8424
