sequence,time,mw,n_distinct_states,n_distinct_labels
Kahramanmaras_2023,2023-02-06 01:17:34.342000+00:00,7.8,1,1
Kahramanmaras_2023,2023-02-06 01:28:15.784000+00:00,6.7,2,1
Kahramanmaras_2023,2023-02-06 10:24:48.811000+00:00,7.5,1,2
Kumamoto_2016,2016-04-15 16:25:06.220000+00:00,7.0,1,1
Ridgecrest_2019,2019-07-06 03:19:53.040000+00:00,7.1,1,1
